Date,OCCUPATION,JOB VACANCY CHARACTERISTICS,JOB VACANCIES
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-04,Management occupations [0],Bachelor's degree,0
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-04,Management occupations [0],No minimum level of education required,0
2023-04,Management occupations [0],High school diploma or equivalent,0
2023-04,Management occupations [0],Non-university certificate or diploma,0
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-04,Management occupations [0],Bachelor's degree,0
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-04,Management occupations [0],No minimum level of education required,0
2023-04,Management occupations [0],High school diploma or equivalent,0
2023-04,Management occupations [0],Non-university certificate or diploma,0
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-04,Management occupations [0],Bachelor's degree,0
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-04,Management occupations [0],No minimum level of education required,0
2023-04,Management occupations [0],High school diploma or equivalent,0
2023-04,Management occupations [0],Non-university certificate or diploma,15
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-04,Management occupations [0],Bachelor's degree,10
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-04,Management occupations [0],No minimum level of education required,10
2023-04,Management occupations [0],High school diploma or equivalent,0
2023-04,Management occupations [0],Non-university certificate or diploma,10
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-04,Management occupations [0],Bachelor's degree,25
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-04,Management occupations [0],No minimum level of education required,0
2023-04,Management occupations [0],High school diploma or equivalent,0
2023-04,Management occupations [0],Non-university certificate or diploma,0
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-04,Management occupations [0],Bachelor's degree,0
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-07,Management occupations [0],No minimum level of education required,4085
2023-07,Management occupations [0],High school diploma or equivalent,6035
2023-07,Management occupations [0],Non-university certificate or diploma,6875
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,2970
2023-07,Management occupations [0],Bachelor's degree,12310
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",2910
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,0
2023-07,Management occupations [0],Non-university certificate or diploma,55
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,45
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",30
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,0
2023-07,Management occupations [0],Non-university certificate or diploma,0
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,20
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,155
2023-07,Management occupations [0],Non-university certificate or diploma,180
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,270
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",40
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,0
2023-07,Management occupations [0],Non-university certificate or diploma,0
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,0
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-07,Management occupations [0],No minimum level of education required,1215
2023-07,Management occupations [0],High school diploma or equivalent,1625
2023-07,Management occupations [0],Non-university certificate or diploma,1160
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,495
2023-07,Management occupations [0],Bachelor's degree,2895
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",430
2023-07,Management occupations [0],No minimum level of education required,1275
2023-07,Management occupations [0],High school diploma or equivalent,1900
2023-07,Management occupations [0],Non-university certificate or diploma,3080
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,1260
2023-07,Management occupations [0],Bachelor's degree,5025
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",1400
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,215
2023-07,Management occupations [0],Non-university certificate or diploma,200
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,140
2023-07,Management occupations [0],Bachelor's degree,270
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",90
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,0
2023-07,Management occupations [0],Non-university certificate or diploma,0
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,0
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-07,Management occupations [0],No minimum level of education required,435
2023-07,Management occupations [0],High school diploma or equivalent,650
2023-07,Management occupations [0],Non-university certificate or diploma,755
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,325
2023-07,Management occupations [0],Bachelor's degree,940
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",220
2023-07,Management occupations [0],No minimum level of education required,855
2023-07,Management occupations [0],High school diploma or equivalent,1035
2023-07,Management occupations [0],Non-university certificate or diploma,1085
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,455
2023-07,Management occupations [0],Bachelor's degree,2270
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",505
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,0
2023-07,Management occupations [0],Non-university certificate or diploma,0
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,20
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,0
2023-07,Management occupations [0],Non-university certificate or diploma,0
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,35
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,0
2023-07,Management occupations [0],Non-university certificate or diploma,0
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,0
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
